 Q,X,reg5,reg7,income,gender,age,edu1,edu2,occ,group,answered1,time1,pq1,pq2,pq3,pq4,pq5,pq6,pq7,pq8,pq9,pq10,z2,answered2,time2,q1,q2,q3,q4,q5,q6,q7,q8,q9
67168,560155,3,7,0,1,59,3,2,6,0,1,0:02:30,1,11,11,2,3,1,4,1,1,3,2,1,0:08:15,3,3,5,3,3,3,5,5,1
29242,371781,4,3,4,1,49,3,2,4,0,1,0:04:07,1,15,15,3,1,2,3,1,1,4,1,1,0:08:11,3,1,4,2,1,2,4,5,1
53354,496609,2,2,3,2,50,4,1,1,0,1,0:01:10,1,2,2,1,3,2,3,2,3,3,4,1,0:08:02,3,3,4,4,4,3,4,4,1
65937,557195,3,2,4,1,42,4,2,3,0,1,0:01:53,1,2,2,2,3,2,2,1,1,4,5,1,0:07:50,3,2,4,2,1,3,5,5,1
17339,226135,1,1,3,2,28,4,2,3,0,1,0:03:18,1,1,1,2,3,2,2,1,3,1,5,1,0:07:48,3,2,3,3,3,3,3,3,1
42806,458368,3,2,2,1,69,4,2,0,0,1,0:03:54,1,13,3,1,1,2,4,1,1,1,5,1,0:07:43,3,3,3,3,3,3,5,4,1
68533,563408,3,2,2,1,54,3,2,4,0,1,0:05:10,1,1,1,2,7,0,3,1,1,4,4,1,0:07:40,2,3,4,2,2,2,4,4,1
61607,541026,2,4,2,2,53,3,2,0,0,1,2:01:13,1,3,3,1,7,0,3,1,4,3,3,1,0:07:39,2,2,3,1,1,1,5,4,1
49989,484392,4,5,2,2,36,3,2,0,0,1,0:03:30,1,10,10,3,7,0,6,1,1,4,3,1,0:07:35,1,2,4,1,1,1,1,2,1
72020,571256,2,2,2,2,51,3,2,0,0,1,0:10:53,1,14,11,1,7,0,3,2,1,3,4,1,0:07:30,2,2,2,2,1,2,3,4,1
21339,309677,3,2,2,1,55,3,2,4,0,1,0:02:59,1,8,12,2,4,2,3,3,3,3,2,1,0:07:17,2,2,3,2,2,2,4,4,1
24317,338745,3,3,2,2,62,3,2,0,0,1,0:02:51,1,14,14,2,3,2,2,1,1,3,4,1,0:07:09,3,3,2,2,2,2,4,4,1
5201,32129,3,2,3,1,50,3,2,4,0,1,0:02:23,1,13,1,2,7,0,3,1,1,4,1,1,0:07:01,1,3,3,4,2,4,5,5,1
36128,417986,1,1,4,2,54,3,2,9,0,1,0:04:41,1,14,14,1,3,2,2,1,3,3,4,1,0:06:59,3,4,3,2,2,2,3,3,1
53887,499295,1,1,4,1,34,3,2,0,0,1,0:05:36,1,1,1,1,1,1,4,1,1,3,5,1,0:06:58,2,3,5,2,1,1,4,5,1
23134,329342,3,5,2,2,57,4,2,5,0,1,0:02:22,1,6,6,1,2,2,4,1,1,4,1,1,0:06:55,2,1,2,2,1,1,5,5,1
69420,565515,3,7,8,1,22,4,1,0,0,1,0:01:06,1,11,4,2,3,2,3,2,1,3,4,1,0:06:50,2,3,3,3,3,3,2,4,1
20391,298966,2,2,4,2,37,3,1,4,0,1,0:06:55,1,4,1,1,7,0,3,2,1,3,5,1,0:06:50,3,2,2,1,1,1,5,5,1
4076,18211,2,4,6,1,62,4,1,1,0,1,0:01:57,1,3,13,1,7,0,4,1,1,3,4,1,0:06:45,3,2,1,1,1,1,5,5,1
36086,417678,2,4,3,1,60,4,2,2,0,1,0:03:19,1,3,13,3,7,0,4,1,1,4,4,1,0:06:42,3,2,1,1,1,1,1,5,1
59803,533751,2,3,5,2,56,5,1,2,0,1,0:01:24,1,14,2,1,3,2,2,1,1,4,5,1,0:06:41,2,2,4,2,2,2,4,4,1
69876,566531,4,5,2,2,52,2,2,0,0,1,0:02:50,1,9,10,3,7,0,6,1,1,3,3,1,0:06:37,1,2,3,3,5,1,5,3,1
6538,49487,3,5,4,1,44,3,2,4,0,1,0:01:34,1,10,15,2,3,1,4,1,1,4,5,1,0:06:37,2,2,3,3,3,3,3,3,1
42425,456893,1,1,3,2,64,5,1,9,0,1,0:02:43,1,1,15,1,7,0,4,1,1,3,1,1,0:06:36,3,3,3,3,3,3,3,3,1
65799,556881,2,2,3,2,54,3,2,0,0,1,0:04:41,1,13,13,1,7,0,3,1,1,5,3,1,0:06:36,3,3,5,3,5,5,5,5,1
3561,11843,3,6,3,1,45,3,2,4,0,1,0:01:43,1,15,15,2,7,0,6,1,4,5,2,1,0:06:32,2,2,1,1,1,1,5,5,1
26847,356714,3,3,1,2,49,3,2,0,0,1,0:04:45,1,14,14,2,7,0,6,1,1,3,3,1,0:06:29,3,1,3,2,1,1,1,1,1
40817,447883,3,3,3,1,63,5,1,0,0,1,0:04:10,1,14,14,2,2,1,4,1,1,3,5,1,0:06:26,3,3,1,1,1,1,5,5,1
2877,3801,3,2,1,2,56,6,0,0,0,1,0:03:06,1,12,12,2,4,2,3,2,3,4,1,1,0:06:23,3,3,3,2,2,1,5,5,1
71353,569783,3,5,6,2,38,4,2,3,0,1,0:02:00,1,10,4,2,7,0,4,1,1,4,1,1,0:06:21,1,2,2,2,2,2,2,2,1
21709,313040,3,6,3,1,46,3,2,5,0,1,0:03:18,1,13,13,2,7,0,3,1,2,5,3,1,0:06:21,2,1,4,2,1,1,4,4,1
53098,495572,1,1,3,2,36,3,2,0,0,1,0:01:26,1,1,1,1,7,0,6,1,2,5,1,1,0:06:18,1,2,3,3,3,3,3,3,1
62543,544609,3,2,2,2,58,3,2,3,0,1,0:01:31,1,8,8,2,7,0,4,1,1,4,5,1,0:06:15,2,1,3,1,1,1,5,5,1
34070,400050,3,7,2,2,56,4,2,0,0,1,0:03:26,1,11,11,2,5,1,1,1,1,4,2,1,0:06:11,2,2,2,2,1,1,4,4,1
55253,506066,1,1,4,2,45,3,2,3,0,1,0:04:57,1,10,1,1,3,1,3,3,1,3,4,1,0:06:11,3,4,1,5,1,1,5,5,1
31011,381514,3,3,0,2,57,2,2,9,0,1,0:01:26,1,13,3,2,7,0,4,3,1,3,3,1,0:06:10,1,1,1,1,1,1,5,5,1
