"","reg5","reg7","income","gender","age","edu1","edu2","occ","group","pq1","pq2","pq3","pq4","partyID","pq6","ideology","pq8","pq9","pq10","treat","direct","indirect","q3","q4","q5","q6","q7","q8","q9","party","party_f","party_lib","party_con","ideo_f","ideo_con","ideo_lib","college","korean_war","men"
"56",3,2,1,1,54,4,2,0,0,1,12,1,2,3,2,"Moderate",2,1,5,4,2,2,2,2,1,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"57",3,7,0,1,59,3,2,6,0,1,11,11,2,3,1,"Con",1,1,3,2,3,3,5,3,3,3,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Con",1,0,0,0,1
"58",4,3,4,1,49,3,2,4,0,1,15,15,3,1,2,"Moderate",1,1,4,1,3,1,4,2,1,2,4,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,1
"59",2,2,3,2,50,4,1,1,0,1,2,2,1,3,2,"Moderate",2,3,3,4,3,3,4,4,4,3,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,0
"60",3,2,4,1,42,4,2,3,0,1,2,2,2,3,2,"Lib",1,1,4,5,3,2,4,2,1,3,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,1
"61",1,1,3,2,28,4,2,3,0,1,1,1,2,3,2,"Lib",1,3,1,5,3,2,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"62",3,2,2,1,69,4,2,0,0,1,13,3,1,1,2,"Con",1,1,1,5,3,3,3,3,3,3,5,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,1,1
"63",3,2,2,1,54,3,2,4,0,1,1,1,2,7,0,"Moderate",1,1,4,4,2,3,4,2,2,2,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"64",2,4,2,2,53,3,2,0,0,1,3,3,1,7,0,"Moderate",1,4,3,3,2,2,3,1,1,1,5,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"65",4,5,2,2,36,3,2,0,0,1,10,10,3,7,0,"Don't know",1,1,4,3,1,2,4,1,1,1,1,2,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"66",2,2,2,2,51,3,2,0,0,1,14,11,1,7,0,"Moderate",2,1,3,4,2,2,2,2,1,2,3,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"67",3,2,2,1,55,3,2,4,0,1,8,12,2,4,2,"Moderate",3,3,3,2,2,2,3,2,2,2,4,4,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,1
"68",3,3,2,2,62,3,2,0,0,1,14,14,2,3,2,"Lib",1,1,3,4,3,3,2,2,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"69",3,2,3,1,50,3,2,4,0,1,13,1,2,7,0,"Moderate",1,1,4,1,1,3,3,4,2,4,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"70",1,1,4,2,54,3,2,9,0,1,14,14,1,3,2,"Lib",1,3,3,4,3,4,3,2,2,2,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,0
"71",1,1,4,1,34,3,2,0,0,1,1,1,1,1,1,"Con",1,1,3,5,2,3,5,2,1,1,4,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,0,0,1
"72",3,5,2,2,57,4,2,5,0,1,6,6,1,2,2,"Con",1,1,4,1,2,1,2,2,1,1,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,0
"73",3,7,8,1,22,4,1,0,0,1,11,4,2,3,2,"Moderate",2,1,3,4,2,3,3,3,3,3,2,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,1,0,1
"74",2,2,4,2,37,3,1,4,0,1,4,1,1,7,0,"Moderate",2,1,3,5,3,2,2,1,1,1,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"75",2,4,6,1,62,4,1,1,0,1,3,13,1,7,0,"Con",1,1,3,4,3,2,1,1,1,1,5,5,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"76",2,4,3,1,60,4,2,2,0,1,3,13,3,7,0,"Con",1,1,4,4,3,2,1,1,1,1,1,5,1,"No Party","No Party",0,0,"Con",1,0,1,0,1
"77",2,3,5,2,56,5,1,2,0,1,14,2,1,3,2,"Lib",1,1,4,5,2,2,4,2,2,2,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"78",4,5,2,2,52,2,2,0,0,1,9,10,3,7,0,"Don't know",1,1,3,3,1,2,3,3,5,1,5,3,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"79",3,5,4,1,44,3,2,4,0,1,10,15,2,3,1,"Con",1,1,4,5,2,2,3,3,3,3,3,3,1,"Liberal Partisans","Liberal Partisans",1,0,"Con",1,0,0,0,1
"80",1,1,3,2,64,5,1,9,0,1,1,15,1,7,0,"Con",1,1,3,1,3,3,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"81",2,2,3,2,54,3,2,0,0,1,13,13,1,7,0,"Moderate",1,1,5,3,3,3,5,3,5,5,5,5,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,0
"82",3,6,3,1,45,3,2,4,0,1,15,15,2,7,0,"Don't know",1,4,5,2,2,2,1,1,1,1,5,5,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,1
"83",3,3,1,2,49,3,2,0,0,1,14,14,2,7,0,"Don't know",1,1,3,3,3,1,3,2,1,1,1,1,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"84",3,3,3,1,63,5,1,0,0,1,14,14,2,2,1,"Con",1,1,3,5,3,3,1,1,1,1,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Con",1,0,1,0,1
"85",3,2,1,2,56,6,0,0,0,1,12,12,2,4,2,"Moderate",2,3,4,1,3,3,3,2,2,1,5,5,1,"Conservative Partisans","Conservative Partisans",0,1,"Moderate",0,0,0,0,0
"86",3,5,6,2,38,4,2,3,0,1,10,4,2,7,0,"Con",1,1,4,1,1,2,2,2,2,2,2,2,1,"No Party","No Party",0,0,"Con",1,0,1,0,0
"87",3,6,3,1,46,3,2,5,0,1,13,13,2,7,0,"Moderate",1,2,5,3,2,1,4,2,1,1,4,4,1,"No Party","No Party",0,0,"Moderate",0,0,0,0,1
"88",1,1,3,2,36,3,2,0,0,1,1,1,1,7,0,"Don't know",1,2,5,1,1,2,3,3,3,3,3,3,1,"No Party","No Party",0,0,"Don't know",0,0,0,0,0
"89",3,2,2,2,58,3,2,3,0,1,8,8,2,7,0,"Con",1,1,4,5,2,1,3,1,1,1,5,5,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"90",3,7,2,2,56,4,2,0,0,1,11,11,2,5,1,"Lib",1,1,4,2,2,2,2,2,1,1,4,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,1,0,0
"91",1,1,4,2,45,3,2,3,0,1,10,1,1,3,1,"Moderate",3,1,3,4,3,4,1,5,1,1,5,5,1,"Liberal Partisans","Liberal Partisans",1,0,"Moderate",0,0,0,0,0
"92",3,3,0,2,57,2,2,9,0,1,13,3,2,7,0,"Con",3,1,3,3,1,1,1,1,1,1,5,5,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"93",4,6,4,2,48,3,2,5,0,1,9,13,3,7,0,"Con",1,3,5,1,2,1,4,4,1,2,4,5,1,"No Party","No Party",0,0,"Con",1,0,0,0,0
"94",2,7,2,1,42,3,2,4,0,1,10,12,1,3,1,"Lib",1,3,3,5,3,2,5,4,3,3,3,4,1,"Liberal Partisans","Liberal Partisans",1,0,"Lib",0,1,0,0,1
"95",1,1,3,2,58,6,0,0,0,1,12,1,1,8,0,"Moderate",1,1,4,5,2,2,3,3,3,2,3,3,1,"Don't know","Don't know",0,0,"Moderate",0,0,0,0,0
"96",2,5,3,1,58,4,2,1,0,1,10,10,1,8,0,"Lib",2,1,3,5,3,3,4,3,2,4,4,4,1,"Don't know","Don't know",0,0,"Lib",0,1,1,0,1
